Id,TimeStamp,DateTime,Dc,State,EnergyConsumption,VmsCount,MigratedVmsCount,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq
8,1357340400670,2013-01-05 00:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357340400670,2013-01-05 00:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357340400670,2013-01-05 00:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357340400670,2013-01-05 08:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357340400670,2013-01-05 08:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357340400670,2013-01-05 08:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357340400670,2013-01-05 08:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357340400670,2013-01-05 08:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357344000670,2013-01-04 22:00:00,5,Running,0.1351,3,0,3000,4096,1024,327680,1405,792,30,157286,1405,792,30,157286
22,1357344000670,2013-01-04 22:00:00,5,Running,0.1333,3,0,3000,4096,1024,327680,1314,789,31,157286,1314,789,31,157286
23,1357344000670,2013-01-04 22:00:00,5,Running,0.1343,3,0,3000,4096,1024,327680,1366,809,30,157286,1366,809,30,157286
24,1357344000670,2013-01-04 22:00:00,5,Running,0.1342,3,0,3000,4096,1024,327680,1362,800,28,157286,1362,800,28,157286
25,1357344000670,2013-01-04 22:00:00,5,Running,0.1338,3,0,3000,4096,1024,327680,1341,810,29,157286,1341,810,29,157286
16,1357344000670,2013-01-04 19:00:00,4,Running,0.1330,3,0,3000,4096,1024,327680,1302,776,31,157286,1302,776,31,157286
17,1357344000670,2013-01-04 19:00:00,4,Running,0.1338,3,0,3000,4096,1024,327680,1338,819,28,157286,1338,819,28,157286
18,1357344000670,2013-01-04 19:00:00,4,Running,0.1348,3,0,3000,4096,1024,327680,1391,816,31,157286,1391,816,31,157286
19,1357344000670,2013-01-04 19:00:00,4,Running,0.1155,1,0,3000,4096,1024,327680,476,287,10,52429,476,287,10,52429
20,1357344000670,2013-01-04 19:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357344000670,2013-01-05 01:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357344000670,2013-01-05 01:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357344000670,2013-01-05 01:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357344000670,2013-01-05 01:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357344000670,2013-01-05 01:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357344000670,2013-01-05 01:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357344000670,2013-01-05 01:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357344000670,2013-01-05 01:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357344000670,2013-01-05 01:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357344000670,2013-01-05 01:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357344000670,2013-01-05 09:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357344000670,2013-01-05 09:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357344000670,2013-01-05 09:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357344000670,2013-01-05 09:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357344000670,2013-01-05 09:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357347600670,2013-01-04 23:00:00,5,Running,0.1438,3,0,3000,4096,1024,327680,1703,934,30,157286,1703,934,30,157286
22,1357347600670,2013-01-04 23:00:00,5,Running,0.1396,3,0,3000,4096,1024,327680,1579,996,29,157286,1579,996,29,157286
23,1357347600670,2013-01-04 23:00:00,5,Running,0.1424,3,0,3000,4096,1024,327680,1663,951,28,157286,1663,951,28,157286
24,1357347600670,2013-01-04 23:00:00,5,Running,0.1397,3,0,3000,4096,1024,327680,1582,956,29,157286,1582,956,29,157286
25,1357347600670,2013-01-04 23:00:00,5,Running,0.1403,3,0,3000,4096,1024,327680,1598,971,31,157286,1598,971,31,157286
16,1357347600670,2013-01-04 20:00:00,4,Running,0.1394,3,0,3000,4096,1024,327680,1572,934,32,157286,1572,934,32,157286
17,1357347600670,2013-01-04 20:00:00,4,Running,0.1423,3,0,3000,4096,1024,327680,1658,957,30,157286,1658,957,30,157286
18,1357347600670,2013-01-04 20:00:00,4,Running,0.1399,3,0,3000,4096,1024,327680,1588,964,31,157286,1588,964,31,157286
19,1357347600670,2013-01-04 20:00:00,4,Running,0.1164,1,0,3000,4096,1024,327680,520,316,9,52429,520,316,9,52429
20,1357347600670,2013-01-04 20:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357347600670,2013-01-05 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357347600670,2013-01-05 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357347600670,2013-01-05 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357347600670,2013-01-05 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357347600670,2013-01-05 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357347600670,2013-01-05 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357347600670,2013-01-05 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357347600670,2013-01-05 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357347600670,2013-01-05 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357347600670,2013-01-05 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357347600670,2013-01-05 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357347600670,2013-01-05 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357347600670,2013-01-05 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357347600670,2013-01-05 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357347600670,2013-01-05 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357351200670,2013-01-05 00:00:00,5,Running,0.1479,3,0,3000,4096,1024,327680,1847,1132,29,157286,1847,1132,29,157286
22,1357351200670,2013-01-05 00:00:00,5,Running,0.1486,3,0,3000,4096,1024,327680,1880,1076,29,157286,1880,1076,29,157286
23,1357351200670,2013-01-05 00:00:00,5,Running,0.1484,3,0,3000,4096,1024,327680,1870,1098,30,157286,1870,1098,30,157286
24,1357351200670,2013-01-05 00:00:00,5,Running,0.1488,3,0,3000,4096,1024,327680,1888,1079,29,157286,1888,1079,29,157286
25,1357351200670,2013-01-05 00:00:00,5,Running,0.1480,3,0,3000,4096,1024,327680,1851,1064,30,157286,1851,1064,30,157286
16,1357351200670,2013-01-04 21:00:00,4,Running,0.1493,3,0,3000,4096,1024,327680,1914,1084,29,157286,1914,1084,29,157286
17,1357351200670,2013-01-04 21:00:00,4,Running,0.1484,3,0,3000,4096,1024,327680,1868,1110,30,157286,1868,1110,30,157286
18,1357351200670,2013-01-04 21:00:00,4,Running,0.1488,3,0,3000,4096,1024,327680,1889,1094,30,157286,1889,1094,30,157286
19,1357351200670,2013-01-04 21:00:00,4,Running,0.1188,1,0,3000,4096,1024,327680,636,352,10,52429,636,352,10,52429
20,1357351200670,2013-01-04 21:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357351200670,2013-01-05 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357351200670,2013-01-05 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357351200670,2013-01-05 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357351200670,2013-01-05 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357351200670,2013-01-05 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357351200670,2013-01-05 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357351200670,2013-01-05 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357351200670,2013-01-05 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357351200670,2013-01-05 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357351200670,2013-01-05 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357351200670,2013-01-05 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357351200670,2013-01-05 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357351200670,2013-01-05 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357351200670,2013-01-05 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357351200670,2013-01-05 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357354800670,2013-01-05 01:00:00,5,Running,0.1533,3,0,3000,4096,1024,327680,2124,1176,31,157286,2124,1176,31,157286
22,1357354800670,2013-01-05 01:00:00,5,Running,0.1524,3,0,3000,4096,1024,327680,2068,1195,32,157286,2068,1195,32,157286
23,1357354800670,2013-01-05 01:00:00,5,Running,0.1538,3,0,3000,4096,1024,327680,2159,1199,31,157286,2159,1199,31,157286
24,1357354800670,2013-01-05 01:00:00,5,Running,0.1515,3,0,3000,4096,1024,327680,2027,1180,29,157286,2027,1180,29,157286
25,1357354800670,2013-01-05 01:00:00,5,Running,0.1519,3,0,3000,4096,1024,327680,2043,1186,29,157286,2043,1186,29,157286
16,1357354800670,2013-01-04 22:00:00,4,Running,0.1523,3,0,3000,4096,1024,327680,2064,1211,29,157286,2064,1211,29,157286
17,1357354800670,2013-01-04 22:00:00,4,Running,0.1531,3,0,3000,4096,1024,327680,2104,1178,30,157286,2104,1178,30,157286
18,1357354800670,2013-01-04 22:00:00,4,Running,0.1535,3,0,3000,4096,1024,327680,2137,1180,33,157286,2137,1180,33,157286
19,1357354800670,2013-01-04 22:00:00,4,Running,0.1203,1,0,3000,4096,1024,327680,699,420,9,52429,699,420,9,52429
20,1357354800670,2013-01-04 22:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357354800670,2013-01-05 04:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357354800670,2013-01-05 04:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
